fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
13-09-2019;6745;19628;7028;680;25,85;6525;51,69;1748;4102,6
16-09-2019;6530;19969;7200;680;25,95;6455,1;52,2;1809;4170
17-09-2019;6600;20276;7267,2;697;26,19;6351;52;1830;4200
18-09-2019;6600;20276;7267,2;697;26,19;6351;52;1830;4200
19-09-2019;6600;20276;7267,2;697;26,19;6351;52;1830;4200
20-09-2019;6600;20276;7267,2;697;26,19;6351;52;1830;4200
23-09-2019;6415,1;20189;7070;693,93;25,8;6360;51,3;1749,9;4222
24-09-2019;6404;19602;6890;684;25,4;6215;51,43;1705;4215
25-09-2019;6399;20010;6880;687,64;25,5;6325;51,98;1730;4195
26-09-2019;6550;20375;6990;691,88;25,49;6349;51,9;1720;4197
27-09-2019;8411,2;20100;7000;709,16;25,25;6410;52;1705,1;4229
30-09-2019;8060;20070;6875;720,99;25,32;6350;51,37;1696;4075
01-10-2019;8045;20100;6752;724;25,02;6271;51;1666,3;4130
02-10-2019;7971,2;19805;6651;724;25,1;6270;50,6;1659,9;4099
03-10-2019;7963;19402;6627;721,48;25,2;6290;50,75;1650;4120
04-10-2019;8157;19390;6760;737,97;25,44;6311;50,96;1675;4122
07-10-2019;8168,9;19288;6810;736,84;25,7;6365;51,3;1715;4114,9
08-10-2019;8100;19196;6801;745,05;25,39;6305,1;51,07;1710;4080
09-10-2019;8170;18980;6753;730,57;25,2;6343,6;51,59;1700;4081
10-10-2019;8200;19299;6910;735;25,4;6352;51,1;1765;4085
11-10-2019;8248;20250;7199;759;25,67;6514,9;51,5;1825;4179
14-10-2019;8200;19800;7275;752;25,78;6430;51,49;1840;4195
15-10-2019;8340;20085;7270;750;25,8;6469,7;51,98;1845;4218
16-10-2019;8325;20172;7214;752;25,97;6357,1;52,05;1818;4285
17-10-2019;8600;20243;7301;755,73;25,81;6379;52,1;1839,9;4279,9
18-10-2019;8502;20190;7360;735;25,8;6299,9;51,4;1864;4270
21-10-2019;8210;19110;7045;693,03;24,85;5850;49,3;1750;3970
22-10-2019;8249;19700;7190;683;25,1;5970;50,12;1800;4000,1
23-10-2019;8199;19850;7030;670,1;25,24;5901;49,19;1778,8;3869
24-10-2019;8500;20030;7146,1;700,67;25,44;6065;49,88;1839,9;4050,3
25-10-2019;8429;19680;7000;684,4;25,5;5950;49,2;1800;3950,9
28-10-2019;8445;20170;7050;677,58;25,29;5850;48,97;1830;3999,8
29-10-2019;8369;20170;6925;650;24,88;5610,1;47,87;1799;3910
30-10-2019;8355,01;20171,01;6550,8;625;24;5440;46,01;1690;3815,01
31-10-2019;8355,01;20171,01;6550,8;625;24;5440;46,01;1690;3815,01
01-11-2019;8355,01;20171,01;6550,8;625;24;5440;46,01;1690;3815,01
04-11-2019;8299,9;21100;6830;613,9;24,97;5680;47,18;1749,9;3659,9
05-11-2019;8369;20839;6630;590;25,3;5551;45,93;1722;3639,9
06-11-2019;8180;20389;6420;549,9;25;5320;44,51;1700;3440
07-11-2019;8348;20690;6695;542;25,74;5559;45;1795;3549
08-11-2019;8300;19800;6745;540;25,54;5400;45,7;1820;3600
11-11-2019;8400;20350;6558;490,1;24,94;5280;45,31;1799;3598
12-11-2019;8390;19172;6498;460;24,89;5100,2;44,4;1790;3400
13-11-2019;8478,7;18500;6265;400;24,25;4800,1;44,5;1705;3179
14-11-2019;8480;19150;6548;431,93;24,47;4899;45,21;1762,1;3200
15-11-2019;8550;19110;7189,9;505;25,68;5500;49,35;1874;3650
18-11-2019;8450;18650;7097;517,35;25,71;5513;47,87;1875;3665
19-11-2019;8699;18899;7030;495,08;25,5;5400;47,38;1850;3725
20-11-2019;8697;18200;7100;472,5;25,3;5250;47;1850;3655
21-11-2019;8600;18600;7100;469,79;25,95;5300;46;1840;3515
22-11-2019;8689;18400;6900;459,82;26,74;5350;46;1805;3455
25-11-2019;8487;18400;6750;444,79;26,35;5480;45,5;1780;3360
26-11-2019;8530;18001;6351;410;26,43;5379;44,26;1710;3305
27-11-2019;8599;19400;6584;403,23;26,35;5260;45;1769;3280
28-11-2019;8400;19150;6330;411,82;26,15;5150;43,6;1702,1;3210
29-11-2019;8449;19100;6400;410,04;26,19;5230;42,97;1745;3229,9
02-12-2019;8445;19200;6326;409,16;26,06;5235,5;42,2;1722;3150,2
03-12-2019;8480,1;19285;6320;410,19;25,82;5080;42;1741;3139,7
04-12-2019;8565;19598;6600;444;26,29;5160;43,98;1830;3320
05-12-2019;8598;19320;6775;470;26,48;5348;45,15;1871;3390
06-12-2019;8585;19400;6800;468,88;26,46;5289;44;1848,9;3235
09-12-2019;8550;19320;6894;465,49;27;5197,1;43,6;1900;3290
10-12-2019;8600;19700;6801,1;457;27;5336;43,8;1880;3400
11-12-2019;8557,9;19997;6908,2;451,74;27,25;5561;43,44;1945;3300
12-12-2019;8535;20212;6980;449;27,3;5670;44;1937;3300
13-12-2019;8700;20650;7199;458,58;27,25;5749;44,59;1980;3429
16-12-2019;8750;20702;7150;459;27,26;5750,1;44,83;1995;3413,9
17-12-2019;8800;21076;6951;450;27;5650;44,2;1962;3262,1
18-12-2019;8769;20750;6740;439,03;27;5700;43,6;1898;3189
19-12-2019;8994;20386;6720;450,46;27;5790;44,2;1900,2;3150
20-12-2019;8800;20402;6653;456,22;27,3;5799;44,01;1885;3195
23-12-2019;8525;20799;6635,1;446,99;27,35;5780;44;1875;3269,9
24-12-2019;8300;20925;6700;446,38;27,35;5778,9;43,81;1886;3274,9
25-12-2019;8300;20925;6700;446,38;27,35;5778,9;43,81;1886;3274,9
26-12-2019;8000;20900;6755;442,47;27,1;5680;43,66;1869,9;3200
27-12-2019;7600;20530;6850;428,1;27,27;5679,9;43,19;1873,9;3265
30-12-2019;7545;20110;6750;430,89;27,39;5697;43;1840;3241
31-12-2019;7545;20110;6750;430,89;27,39;5697;43;1840;3241
01-01-2020;7545;20110;6750;430,89;27,39;5697;43;1840;3241
02-01-2020;7800;20450;7100;468;27,22;5710;44,49;1915;3350
03-01-2020;7809,8;20487;7190;487;27,19;5801,2;45,28;1920;3350
06-01-2020;7675;21001;7350;487,83;26,75;5714;46;1963;3390
07-01-2020;7454,9;21510;7544,8;504,82;26,88;5660;46,3;1960;3450
08-01-2020;7645,3;21379;7460;501,21;26,52;5638;46,2;1960;3455,9
09-01-2020;7580;21000;7400;487;26,85;5589,9;46,48;1974;3473
10-01-2020;7435,1;21620;7590;503;27,49;5680;46,69;2080;3550
13-01-2020;7400;23197;7589;502;26,25;5670;46,15;2070;3435
14-01-2020;7351;24048;7587,5;500,93;26;5600;44,5;2042;3329
15-01-2020;7325;23730;7450;498,01;26,19;5450;44,25;1999,1;3295
16-01-2020;7260;24370;7650;480,2;26,12;5355;43,83;2057,9;3275
17-01-2020;7025;23783;7799;476,5;26,19;5410;43,6;2077;3250
20-01-2020;6944;23500;7605;475,5;26,11;5370;42,87;2025;3206,7
21-01-2020;6730;22996;7380;456,51;26,15;5280;42;1970;3102
22-01-2020;6750;22415;7350;446,31;26,13;5279,9;42,1;1970;3160
23-01-2020;6600;23200;7250,1;432,6;25,89;5166;42,6;1945;3160
24-01-2020;6710;22552;7300;432,5;26,15;5200;41,58;1930;3190,1
27-01-2020;6605;22117;7109,9;419,93;25,3;4950;40,61;1870;3106,1
28-01-2020;6610;22320;7175;425;25,3;4950;40,15;1895;3165
29-01-2020;6641;22450;7150;425;25,35;4964,9;39,05;1870;3140
30-01-2020;6650;22600;7170;420,01;25,5;4871,7;39,01;1860,2;3125
31-01-2020;6648;22300;7140;415,59;25,17;4760;39,59;1835;3140
03-02-2020;6606;22403;7140,5;418,46;24,75;4630;40,87;1835;3140
04-02-2020;6860;24399;7261;421,4;25,19;4989;41,38;1868;3165
05-02-2020;7011,1;23451;7423,3;429,38;25,5;5000;40,95;1928;3198
06-02-2020;7290;24099;7600;426,81;25,6;4941,5;41,06;1963,9;3185
07-02-2020;7297;23299;7500;433,15;25,37;4710;40,51;1900;3174,9
10-02-2020;7025,1;23215;7380;436,24;25,3;4775;40,12;1840,1;3161,1
11-02-2020;7101;23800;7590;447,1;25,5;5088;39,8;1910;3155
12-02-2020;7199,8;24501;7740,1;460,12;25,5;5161,7;40,01;1950;3150
13-02-2020;7249;24540;7719;452,88;25,46;5095;40;1967;3163
14-02-2020;7005;24270;7690;449,4;26,33;5144,2;39,54;1959;3159,3
17-02-2020;7036;24550;7600;448,93;25,79;5170;39,11;1931;3150
18-02-2020;6850;23690;7399;439,97;25,33;5035;37,88;1870;3116
19-02-2020;6846;24260;7338;418,92;25,3;4940;37,64;1830;3079
20-02-2020;6900;25990;7200;405,16;25,43;5100;37,9;1800,8;3049
21-02-2020;6867;25451;7240;409,38;25,23;5038,4;38,39;1815;3020
24-02-2020;6641,19;23803,01;7050,71;393,92;24,7;4829,89;37,479;1779,99;2940,11
25-02-2020;6405,01;24553,01;6888,21;387,59;24,63;4780;36,77;1769,99;2912,21
26-02-2020;5948,9;23252;6601;387,19;24,86;4705;37,3;1701;2820
27-02-2020;5803;22601;6560,6;390,09;24,46;4769;36,82;1720;2775,1
28-02-2020;5456;21456;6349;383,91;23,99;4630;36,49;1650;2720
02-03-2020;5550,1;23000;6600;401,7;23,2;4869;37,22;1685;2915
03-03-2020;5475;23200;6600;409,99;23,49;4898;37,43;1690,1;2869
04-03-2020;5710;24055;6750;400,58;23,48;4846,6;38,3;1740;2880
05-03-2020;5600;23700;6700,2;397,04;23,46;4700;38,14;1700;2840
06-03-2020;5315;22502;6599,4;390;23,52;4729,5;36,91;1681;2722,1
09-03-2020;4875;20741;6250;376;23,19;4498;34,6;1575;2600
10-03-2020;5070;21020;6325;386;23,39;4626;35,3;1600;2570
11-03-2020;4700;20002;6265;384;23,26;4500;35;1572;2535
12-03-2020;3950;18800;5721;355,92;22,9;4150;33,3;1500;2421
13-03-2020;4079,9;18700;5816,1;366,5;22,89;4300;33,81;1542;2390
16-03-2020;3000;15710;5099,7;336,47;20,5;3500;29,5;1325;1920
17-03-2020;2770;16220;4850;332,94;20,5;3450,3;31,05;1371,1;1880
18-03-2020;1551;14000;4401;283,15;13,8;2501,1;28,75;1225;1678,9
19-03-2020;1804;14861;4411;270;14,1;2750,1;29,3;1300;1670
20-03-2020;2076,5;14000;4250;266,89;14,09;2800;30,9;1286,2;1730
23-03-2020;2230;13901;4100,1;257,68;12;2599;29,55;1280;1530
24-03-2020;1950;15750;4100;260;12,2;2800;26,75;1328,5;1530
25-03-2020;2349;18110;4430;250;13,73;3200,1;28,61;1430;1580
26-03-2020;2340;18500;4530;260,04;15,36;3275;29;1540;1581
27-03-2020;2250;17505;4800;251,35;16,02;3200;29,28;1650;1590
30-03-2020;2311;18900;4945;257;16,65;3500;30,9;1740;1656
31-03-2020;2200;19540;4900,1;280;17,02;3671;33;1829;1886
01-04-2020;2000;18375;4840;273,5;16,72;3620;33,15;1740;1820
02-04-2020;2080;18900;5299,9;291;17,55;3740;35,4;1774,9;1932,1
03-04-2020;2101;18613;5439;295,23;17,33;3696,2;35,3;1748;1928
06-04-2020;2199,1;18750;5430;310;17,5;3950;36,3;1720;1998
07-04-2020;2199,1;18860;5100;322;17;3815;35,98;1616;1975
08-04-2020;2519,7;19203;5056;363,86;17,2;3881,6;35,05;1660,2;2000,1
09-04-2020;2841;19299;5190,5;358;17,5;3980;35,3;1621,1;2100
10-04-2020;2841;19299;5190,5;358;17,5;3980;35,3;1621,1;2100
13-04-2020;2800;19198;5299;344,92;17,41;3924;35,48;1669,9;2099
14-04-2020;3030;19600;5400;364;17,7;3970,1;34,86;1708,5;2215
15-04-2020;2961;19000;5280;364;17,7;3871;33,59;1675;2210
16-04-2020;2935;18403;5100;354,19;17,61;3900;32,01;1655;2156
17-04-2020;3169;18965;5121;357,71;17,7;3950;32,8;1635,3;2200
20-04-2020;3050;18650;4970;356,65;17,72;3866;31,94;1590;2149,7
21-04-2020;2901;17990;4852;334,78;17,7;3700;31,1;1569;2065
22-04-2020;2921;18790;4920;334,99;18,1;3700;31,3;1575;2050
23-04-2020;3069,8;18646;5149;346,68;19,15;3925;31,29;1658;2083
24-04-2020;2965,1;18200;5024;335;19,16;3810;30,99;1705;2075
27-04-2020;3040;18860;5120,8;349,71;19,75;3951;32,77;1780;2165,1
28-04-2020;3145;19700;5100,1;363;20,19;3995;33,5;1780;2220
29-04-2020;3275;19600;5350,1;372,94;19,95;4100;35,41;1813,9;2337
30-04-2020;3155;19850;5218;361,1;20;4075;35,85;1799,9;2280
01-05-2020;3155;19850;5218;361,1;20;4075;35,85;1799,9;2280
04-05-2020;2860;18520;5000;332;19,24;3994;34,52;1740;2265
05-05-2020;2892;18612;5120;347,05;19,42;4000;35,56;1770;2385
06-05-2020;2749,8;18540;5310;361,35;19,5;3975;36,23;1800,9;2465
07-05-2020;2599;18920;5450;373,19;20,6;4079;35,98;1860;2537
08-05-2020;2520,3;18520;5100;367;20,85;4050;33,63;1715;2405
11-05-2020;2346;19090;5100;350,13;20,8;4021,5;32,94;1719,7;2400
12-05-2020;2265;18500;5050;339,3;21,01;4030;33,1;1685;2379
13-05-2020;2150;17997;4870;318,99;20,75;3838,5;30,8;1696,2;2235
14-05-2020;2300,1;18300;4902;315,1;20,64;3900;31,89;1720;2200
15-05-2020;2249;18249;4770;309,01;20,65;4000;31,4;1676;2124,6
18-05-2020;2340;19126;4978;320,46;20,8;4185;32,71;1770;2200,2
19-05-2020;2137,9;19300;5050;319,73;20,68;4490;31,88;1767;2116
20-05-2020;2082;18950;5060;355;20,78;4719;32,08;1779,9;2185
21-05-2020;2082;18950;5060;355;20,78;4719;32,08;1779,9;2185
22-05-2020;2105;18640;4930;356,5;20,62;4900;32,01;1718;2156,3
25-05-2020;1999,9;19050;4902;360,98;20,73;5200;32,96;1746;2160
26-05-2020;1280;19715;4919;380,08;20,11;5000;33,28;1735;2050
27-05-2020;711;20599;4980;368,22;19,7;4900;34,3;1730;2018,7
28-05-2020;800;20300;4900;355,1;19,2;5175;32,35;1679,1;1881
29-05-2020;860;19649;5050;355;18,7;5205;32,6;1630;1865
01-06-2020;930;19828;5140;361,46;18,91;5350;32,3;1640;1898,5
02-06-2020;1280;20440;5340;355,4;19,06;5535;32,99;1663;1985
03-06-2020;1570;20850;5370;375;19,5;5450;33,48;1695;2050
04-06-2020;1450;20890;5400;386,34;19,97;5350;34,33;1690;2108,1
05-06-2020;1560;21799;5631,1;415;20;5369;36,33;1748,9;2308,6
